news_title,news_content,news_source,news_pubtime,news_url
"Zinedine Zidane Talks Sergio Ramos Contract Extension, 2020 Olympics Involvement","Real Madrid manager Zinedine Zidane has voiced his support for captain Sergio Ramos to sign a new contract at the club, as well as backing the defender to feature at the Tokyo 2020 Olympics......",Bleacher Report,2020/2/21,https://bleacherreport.com/articles/2877355-zinedine-zidane-talks-sergio-ramos-contract-extension-2020-olympics-involvement
Olympics Could Face Disruption from Regional Powers,"Destructive attacks and disinformation will likely target the Summer Olympics in Tokyo, two groups of threat experts say....",Dark Reading,2020/2/21,https://www.darkreading.com/threat-intelligence/olympics-could-face-disruption-from-regional-powers/d/d-id/1337112
Tokyo postpones training for Olympics volunteers over virus fears,"Organisers for the Tokyo 2020 Summer Olympics have postponed training for volunteers because of the spread of the coronavirus in Japan. Training was scheduled to be held starting Saturday but will be rescheduled, the organising committee said in a stateme...",Yahoo News,2020/2/22,https://news.yahoo.com/tokyo-postpones-training-olympics-volunteers-025224160.html
"Japanese emperor, on birthday, expresses coronavirus concern, looks forward to Olympics","Japanese Emperor Naruhito said on Sunday that he was looking forward to the Tokyo Olympics in summer but that he was concerned about the spread of the new coronavirus, which has killed three in Japan and is slowly spreading across the country. Naruhito, w...",Yahoo News,2020/2/22,https://news.yahoo.com/japanese-emperor-birthday-expresses-coronavirus-150100519.html
Japan rejects London's offer to take over 2020 Games,"Japan has brushed off London's offer to host the 2020 Olympics if the outbreak of the coronavirus forced the games to be moved from Tokyo, insisting the games would open as planned on July 24....",China.org.cn,2020/2/23,http://www.china.org.cn/sports/2020-02/23/content_75734752.htm
Jahlil Okafor Commits to Play for Nigeria at 2020 Tokyo Olympic Games,New Orleans Pelicans center Jahlil Okafor told ESPN's Marc J. Spears Sunday night that he will play for the Nigerian men's basketball team at the 2020 Tokyo Olympics....,Bleacher Report,2020/2/24,https://bleacherreport.com/articles/2877708-jahlil-okafor-commits-to-play-for-nigeria-at-2020-tokyo-olympic-games
INTERVIEW-Trans BMXer riding high as Olympic dream edges nearer,"When American BMX Freestyle rider Chelsea Wolfe received an email asking her to register for the Tokyo Olympics this month, it took her one step closer to her dream of making history as the first transgender athlete to compete in the Games. Wolfe, one of ...",Yahoo News,2020/2/24,https://news.yahoo.com/interview-trans-bmxer-riding-high-154910134.html
FACTBOX-Olympics-Key facts about boxing at the Tokyo 2020 Games,"The 2020 Tokyo Olympics includes 33 sports, one of which is boxing. Here are some key facts about boxing at the Olympics. Introduced: Men's boxing was first introduced in the 1904 Games, with women's events added more than a century later at the L...",Yahoo News,2020/2/24,https://news.yahoo.com/factbox-olympics-key-facts-boxing-190000479.html
FACTBOX-Olympics-Key facts about taekwondo at the Tokyo 2020 Games,"The 2020 Tokyo Olympics includes 33 sports, including taekwondo. Here are some key facts about taekwondo at the Olympics. Introduced: After appearing in two Olympic cycles as an exhibition sport, taekwondo became a formal medal event at the 2000 Games....",Yahoo News,2020/2/24,https://news.yahoo.com/factbox-olympics-key-facts-taekwondo-190000154.html
Reuters Sports News Summary,"British track great Laura Kenny has no intention of scaling back her triple-gold ambition for the Tokyo Olympics despite a broken shoulder that threatened to wreck her season. Kenny, winner of both team pursuit and omnium gold at the last two Olympics, fr...",Yahoo News,2020/2/24,https://news.yahoo.com/reuters-sports-news-summary-235126396.html
IOC senior member: 3 months to decide fate of Tokyo Olympics,"Dick Pound, the longest-serving member of the IOC, estimates there's a three-month window to decide the fate of the Tokyo Olympics, which are being threatened by the fast-spreading virus from China. Pound has been an International Olympic Committee me...",Yahoo News,2020/2/25,https://news.yahoo.com/ioc-senior-member-3-months-085752601.html
Three months remain to decide Olympic fate,"The longest-serving member of the IOC, estimates there's a three-month window to decide the fate of the Tokyo Olympics, which are being threatened by the fast-spreading virus from China....",news.com.au,2020/2/25,https://www.news.com.au/sport/olympics/coronavirus-threat-gives-ioc-three-months-to-make-tough-decision/news-story/04dd753340e9298e00c1cd33957ccee9
Japan suspends football over virus as Olympics loom,"Japan suspended its football league on Tuesday, making it the latest sporting victim of the deadly coronavirus with just five months to go before the Tokyo Olympics. All J-League and cup games were postponed until mid-March as Japan joined China and South...",Yahoo News,2020/2/25,https://news.yahoo.com/japan-suspends-football-over-virus-olympics-loom-114757533--sow.html
Sport-Coronavirus forces postponement of badminton Olympic qualifier,"Badminton's Vietnam International Challenge has been put back from next month to June on concerns over the coronavirus epidemic and will no longer serve as a qualifying event for the Tokyo Olympics, the Badminton World Federation said on Tuesday. The ...",Yahoo News,2020/2/25,https://news.yahoo.com/sport-coronavirus-forces-postponement-badminton-131157930.html
Cycling-Britain under pressure in Berlin as Olympics looms,The Tokyo Olympics is five months away but the battle for track cycling supremacy begins in earnest in Berlin on Wednesday with the world championships offering riders a final chance to impress their selectors and rattle their rivals. Twenty titles in 10 ...,Yahoo News,2020/2/25,https://news.yahoo.com/cycling-britain-under-pressure-berlin-145229615.html
IOC Member: 2020 Tokyo Olympics Could Be Canceled Amid Coronavirus Outbreak,"The 2020 Tokyo Olympics are more likely to be canceled than moved or rescheduled if by late May the coronavirus outbreak is deemed too dangerous to go ahead with the original schedule, according to International Olympic Committee member Dick Pound......",Bleacher Report,2020/2/25,https://bleacherreport.com/articles/2877947-ioc-member-2020-tokyo-olympics-could-be-canceled-amid-coronavirus-outbreak
"Coronavirus May Wind Up Canceling The 2020 Summer Olympics In Tokyo, Officials Fear","Moving or postponing the Games is off the table. The coronavirus may wind up causing officials in Tokyo to cancel the 2020 Summer Olympics, rather than reschedule them or move them to another city, ......",Inquisitr,2020/2/25,https://www.inquisitr.com/5911066/coronavirus-cancel-2020-tokyo-summper-olympics/
"Coronavirus might force the cancellation of the Olympics, but many people seem to be more focused on the name of the IOC member who sounded the alarm","Dick Pound was simply trying to update the public on the outlook of the 2020 Olympics in Tokyo, but people on Twitter couldn't get past his name....",Business Insider,2020/2/25,https://www.businessinsider.com/dick-pound-ioc-olympics-coronavirus-twitter-2020-2
"Coronavirus might force the cancellation of the Olympics, but many people seem to be more focused on the name of the IOC member who sounded the alarm","On Tuesday, the longest-serving member of the International Olympic Committee said the 2020 Olympics in Tokyo could face...",Business Insider India,2020/2/25,https://www.businessinsider.in/sports/news/coronavirus-might-force-the-cancellation-of-the-olympics-but-many-people-seem-to-be-more-focused-on-the-name-of-the-ioc-member-who-sounded-the-alarm/articleshow/74309805.cms
2020 Tokyo Olympics at Risk of Cancellation Because of Coronavirus,A member of the International Olympic Committee reveals the 2020 Tokyo Olympics faces cancellation if the Coronavirus spreads quickly...,E News,2020/2/25,https://www.eonline.com/news/1125888/2020-tokyo-olympics-at-risk-of-cancellation-because-of-coronavirus
Coronavirus vaccine: Human testing is about to begin,Fears over a larger global spread of the coronavirus and its disease COVID-19 show no signs of slowing. Global economies are beginning to feel the pinch and even the 2020 Tokyo Olympics faces a pos......,BGR,2020/2/26,https://bgr.com/2020/02/25/coronavirus-vaccine-human-testing/
"IOC Member: Unlikely Tokyo Olympics Moved, Postponed","A senior member of the International Olympic Committee said Tuesday that if it proves too dangerous to hold the Olympics in Tokyo this summer because of the coronavirus outbreak, organizers are more likely to cancel it altogether than to postpone or move ...",Newsmax,2020/2/26,https://www.newsmax.com/newsfront/tokyo-the-prospects/2020/02/25/id/955713/
Tokyo baseball team to play in empty stadium amid coronavirus fears,"Tokyo's Yomiuri Giants baseball team will play two preseason games in an empty stadium, the latest impact on sports as Japan implements measures to contain the coronavirus just months before it hosts the 2020 Summer Olympics. The move comes a day afte...",Yahoo News,2020/2/26,https://news.yahoo.com/tokyo-baseball-team-play-empty-013942188.html
RPT-Tokyo baseball team to play in empty stadium amid coronavirus fears,"Tokyo's Yomiuri Giants baseball team will play two preseason games in an empty stadium, the latest impact on sports as Japan implements measures to contain the coronavirus just months before it hosts the 2020 Summer Olympics. The move comes a day afte...",Yahoo News,2020/2/26,https://news.yahoo.com/rpt-tokyo-baseball-team-play-024617483.html
Japan rebuts Olympic 'cancellation' talk despite coronavirus fears,TOKYO -- Suggestions by a senior International Olympics Committee member that the Tokyo Games could be canceled if the coronavirus outbreak is not con...,Nikkei Asian Review,2020/2/26,https://asia.nikkei.com/Spotlight/Tokyo-2020-Olympics/Japan-rebuts-Olympic-cancellation-talk-despite-coronavirus-fears
Tokyo Olympics May Scale Down Torch Relay for Virus,"Tokyo Olympics officials are considering scaling down the torch relay due to concerns over the coronavirus outbreak, the chief executive of the organizing committee said on Wednesday....",Newsmax,2020/2/26,https://www.newsmax.com/newsfront/tokyo-olympics-virus-outbreak/2020/02/26/id/955756/
Coronavirus Threatens Tokyo Olympics,"The 2020 Olympics in Tokyo could be postponed or canceled if the coronavirus can't be contained in the next three months, according to a senior member of the International Olympic Committee. The financial stakes are huge. Photo: Jae C. Hong/AP...",news.com.au,2020/2/26,https://www.news.com.au/world/coronavirus-threatens-tokyo-olympics/video/45c39fe1fc6a47e006cb29713bd48acd
Will Coronavirus Be The End For Tokyo's 2020 Olympics? IOC Member Estimates A Decision By May,"The longest-serving member of the International Olympic Committee (IOC) believes that there is about a three-month window to decide the fate of the 2020 Tokyo Olympics, which are being threatened by the fast-spreading coronavirus that originated in China....",Sara A. Carter,2020/2/26,https://saraacarter.com/will-coronavirus-be-the-end-for-tokyos-2020-olympics-ioc-member-estimates-a-decision-by-may/
Athletics-Careers could end without Olympic highlight if Tokyo cancelled,"The potential cancellation of the Tokyo Olympics due to the coronavirus outbreak could end the careers of several athletes like twice shot put champion Valerie Adams, according to Athletics New Zealand's high performance director Scott Goodman. The To...",Yahoo News,2020/2/26,https://news.yahoo.com/athletics-careers-could-end-without-231914090.html
Olympics-World health would have to be at stake to cancel Tokyo Games - Pound,"For this year's Tokyo Olympics to be cancelled or postponed over the coronavirus outbreak, the world's health would have to be at stake, International Olympic Committee (IOC) member Dick Pound said on Wednesday. Pound said it is not impossible to ...",Yahoo News,2020/2/26,https://news.yahoo.com/olympics-world-health-stake-cancel-233733133.html
Thorpe raises Olympic coronavirus concern,"Australian Olympic champion Ian Thorpe says he believes Coronavirus poses a real threat to athlete safety at the upcoming Tokyo Olympics.Japan has 700 confirmed cases of the virus, believed to have stemmed from the Diamond Princess cruise ship. Mr Thorpe ...",news.com.au,2020/2/27,https://www.news.com.au/national/thorpe-raises-olympic-coronavirus-concern/video/8ec1c6a59ce917f99985d88936f1809f
Low on snow: Japan's Olympic cooling plans on thin ice,"NAGANO/TOKYO, Feb 27 (Reuters) - A plan to use snow collected in Japan's mountains to cool 2020 Olympics venues this summer is being stymied by snowfalls on track to be the lowest on record, according to officials involved. Authorities in Minami-Uonum...",Yahoo News,2020/2/27,https://news.yahoo.com/low-snow-japans-olympic-cooling-030000450.html
Discovery Says Financial Hit To EuroSport Minimal If Olympics Canceled,"As cornavirus fears shutter big events left and right, Discovery executives reassured Wall Street Thursday that all systems were still a go for the Tokyo Olympics at its pan-European broadcast sub......",Deadline Hollywood,2020/2/27,https://deadline.com/2020/02/discovery-financial-hit-eurosport-minimal-if-olympics-canceled-1202869980/
Stars erupt over 'insane' trans athlete rule,Kiwi weightlifter Laurel Hubbard is once again at the centre of a transgender battleground after Piers Morgan on Friday hit out at the transgender athlete's push for the 2020 Tokyo Olympics....,news.com.au,2020/2/28,https://www.news.com.au/sport/sports-life/laurel-hubbard-at-centre-of-transgender-battleground-after-piers-morgan-comments/news-story/a2e5d11573822fe0101ac1501334bb51
Bach: IOC 'fully committed' to Tokyo Olympics:,International Olympic Committee President Thomas Bach says the IOC is fully committed to the Tokyo Olympics going ahead on schedule despite the threat of a further spread of coronavirus....,China.org.cn,2020/2/28,http://www.china.org.cn/sports/2020-02/28/content_75755049.htm
"Olympics: Tokyo plans to cancel events if big quake, other disaster strikes - media","Organisers of this summer's Tokyo Olympics have contingency plans to cancel competitions in the event of a strong earthquake or other natural disaster, the Mainichi newspaper said. As the coronavirus spreads in Japan, and rapidly through the world, co...",Yahoo News,2020/3/5,https://news.yahoo.com/olympics-tokyo-plans-cancel-events-040649020.html
Then and Now: Olympics,"The Wuhan coronavirus is threatening to claim yet another victim: the 2020 Olympics. The 2020 Summer Olympics are slated to be held in Tokyo, Japan, in July and August. However, last month, Dick Pound, the longest-serving member of the International Olymp...",Washington Examiner,2020/3/6,https://www.washingtonexaminer.com/opinion/then-and-now-olympics
Tokyo completes permanent Olympic venues as virus fears lurk,"Construction of all new permanent venues for the Tokyo 2020 Olympics and Paralympics is now complete, organisers said Friday, as preparations continue despite worries over the new coronavirus outbreak. The announcement comes as the International Olympic C...",Yahoo News,2020/3/6,https://news.yahoo.com/tokyo-completes-permanent-olympic-venues-virus-fears-lurk-075902920.html
Japan's bid to save Olympics has an air of desperation,TOKYO -- When IOC senior member Dick Pound told reporters last Wednesday that the coronavirus epidemic might lead to the Tokyo Olympics being canceled...,Nikkei Asian Review,2020/3/6,https://asia.nikkei.com/Spotlight/Coronavirus/Japan-s-bid-to-save-Olympics-has-an-air-of-desperation
Japan badminton star Momota feared career over after deadly crash,Japan's badminton king Kento Momota said he was again dreaming of Tokyo Olympics gold on Friday but didn't know when he'd return to action after a car crash that left him fearing his career was over. The world number one admitted his "spir...,Yahoo News,2020/3/6,https://news.yahoo.com/japan-badminton-star-momota-feared-career-over-deadly-093114368.html
"Adapting to uncertainty key to Tokyo success, says Abhinav Bindra","Athletes capable of adapting to uncertainty amid the coronavirus outbreak will be best placed to succeed at the Tokyo Olympics, India's sole individual Olympic champion Abhinav Bindra told Reuters. Known for his Zen-like poise and attention to minute ...",Yahoo News,2020/3/6,https://news.yahoo.com/adapting-uncertainty-key-tokyo-success-131941724.html
"Tokyo holds test Olympics event without fans, top athletes",Organizers of the Tokyo Olympics on Friday held a test event with no fans or top athletes present due to the outbreak of the coronavirus in Japan....,The Hill,2020/3/6,https://thehill.com/policy/healthcare/public-global-health/486268-tokyo-holds-test-olympics-event-without-fans-top
2020 Tokyo Olympics Organizers Consider Holding the Games With No Fans in the Stands,2020 Tokyo Olympics officials are considering...,The Wrap,2020/3/6,https://www.thewrap.com/2020-tokyo-olympics-organizers-consider-holding-the-games-with-no-fans-in-the-stands/
"U.S., Japan women's soccer teams keep focus on games as coronavirus fears swirl","The U.S. and Japan women's national soccer teams said on Saturday they were laser-focused on preparing for the upcoming Olympics, even as a global coronavirus outbreak threatens the postponement or cancellation of the Tokyo Games. The two teams are ex...",Yahoo News,2020/3/8,https://news.yahoo.com/u-japan-womens-soccer-teams-025736285.html
Sumo tournament begins in empty arena amid virus fears,"Sumo's spring tournament began behind closed doors on Sunday, the latest big event in Japan to be hit by the coronavirus less than five months before the Tokyo Olympics. The Japan Sumo Association said last week spectators would be barred the tourname...",Yahoo News,2020/3/8,https://news.yahoo.com/sumo-tournament-begins-empty-arena-amid-virus-fears-080711007--spt.html
Olympics-Tokyo torch lighting ceremony ups measures to combat coronavirus - source,"Organisers of this week's Tokyo 2020 Olympics torch lighting ceremony in ancient Olympia are planning tighter measures to protect against the coronavirus after already reducing the size of the event, a source said on Monday. The Olympic torch will be ...",Yahoo News,2020/3/9,https://news.yahoo.com/olympics-tokyo-torch-lighting-ceremony-100451953.html
World Number 1 Boxer Amit Panghal Qualifies for Tokyo Olympics,Amit Panghal (52kg) has qualified for the 2020 Tokyo Olympics....,The Quint,2020/3/9,https://www.thequint.com/sports/boxing/amit-panghal-mc-mary-kom-qualify-boxing-tokyo-olympics
Olympics-Tokyo 2020 Games torch-lighting ceremony to be held without spectators,"The Tokyo 2020 Olympics torch-lighting ceremony in ancient Olympia this week will be staged without spectators as organisers protect the event from the coronavirus, Greece's Olympic Committee said on Monday. The Olympic torch will be lit in Olympia at...",Yahoo News,2020/3/9,https://news.yahoo.com/olympics-tokyo-2020-games-torch-105046620.html
"USWNT stars Carli Lloyd, Christen Press, and Abby Dahlkemper weigh in on new coach Vlatko Andonovski, and they sound happier than ever","With just four months standing between the US Women's National Team and the 2020 Tokyo Olympics, the world's best team is rocking a 30-game undefeated streak....",Business Insider Australia,2020/3/9,https://www.businessinsider.com.au/carli-lloyd-christen-press-abby-dahlkemper-adjust-to-vlatko-andonovski-2020-3
Tentacles of Olympic cancellation would reach around globe,"The tentacles of canceling the Tokyo Olympics ！ or postponing or staging it in empty venues ！ would reach into every corner of the globe, much like the spreading virus that now imperils the opening ceremony on July 24. ""I've heard thin...",Yahoo News,2020/3/10,https://news.yahoo.com/tentacles-olympic-cancellation-reach-around-073832405.html
Virus already causing Olympic chaos at qualifying events,"DSSELDORF, Germany (AP) ！ For many athletes and teams who have yet to qualify for the Tokyo Olympics, the global virus outbreak is spoiling plans and ruining hopes. Rowing was the latest sport to find itself in flux on Tuesday when it canceled two W...",Yahoo News,2020/3/10,https://news.yahoo.com/virus-already-causing-olympic-chaos-155358594.html
"2020 Tokyo Olympics More Likely to Be Delayed Than Canceled, Says Board Member","The 2020 Tokyo Olympics won't be canceled because of the outbreak of the coronavirus, but the games reportedly could be delayed by as much as 24 months......",Bleacher Report,2020/3/10,https://bleacherreport.com/articles/2880190-2020-tokyo-olympics-more-likely-to-be-delayed-than-canceled-says-board-member
"Delay for Tokyo Olympics 'feasible,' says organising member","If the coronavirus makes the Tokyo Olympics impossible to hold this summer, an organising official said a one to two year delay is realistic and also said a cancel would be too costly. Up until now the Tokyo Olympic Committee has been tight lipped not mak...",Yahoo News,2020/3/11,https://news.yahoo.com/delay-tokyo-olympics-feasible-says-073711260.html
Cancelling Tokyo Olympics 'inconceivable': Japan minister,"Postponing or cancelling the Tokyo Olympics is ""inconceivable"", Japan's Olympic minister said Wednesday, as the new coronavirus outbreak raises fears the event could be scrapped. ""From the viewpoint of athletes who are the main protagonist...",Yahoo News,2020/3/11,https://news.yahoo.com/cancelling-tokyo-olympics-inconceivable-japan-minister-074123016.html
"Disinfection chambers, eating alone: China's virus-hit Olympic training","Chinese athletes gunning for glory at the Tokyo Olympics are training behind closed doors, have their temperatures checked three times a day and cannot even share dining tables as part of strict measures against the coronavirus. The outbreak has led to fe...",Yahoo News,2020/3/11,https://news.yahoo.com/disinfection-chambers-eating-alone-chinas-virus-hit-olympic-084026769.html
Tokyo 2020 Olympics chief: not considering changing plans for games,"Tokyo 2020 Olympics chief Yoshiro Mori said on Wednesday his team was not considering changing plans for the games and that the board member who had suggested a delay because of the coronavirus had apologised. Earlier, a member of the organising committee...",Yahoo News,2020/3/11,https://news.yahoo.com/tokyo-2020-olympics-chief-not-091928485.html
Olympics official: One- or two-year delay 'most feasible' option if 2020 Games are postponed,A member of the organizing body for the Tokyo 2020 Olympics said on Wednesday that a one- or two-year delay would be the "most feasible" option if Japan's capital is unable to host the Games this summer due to the global coronavirus outbreak....,The Hill,2020/3/11,https://thehill.com/policy/healthcare/public-global-health/486974-olympics-official-one-or-two-year-delay-most-feasible
Olympics-Kerr on target again as Australia earn ticket to Olympics,Australia sealed their place in the Tokyo Olympics' women's football tournament on Wednesday as a 2-1 away win over Vietnam completed a 7-1 aggregate victory. Ante Milicic's side had all but guaranteed their progress to the finals following a ...,Yahoo News,2020/3/11,https://news.yahoo.com/olympics-kerr-target-again-australia-134755716.html
Tokyo governor says cancelling Olympics 'unthinkable',"Cancelling the 2020 Olympics is ""unthinkable"" although the classification of the coronavirus as a pandemic will likely have some impact on the Games, the Tokyo city governor said on Thursday. ""It can't be said that the announcement of a pa...",Yahoo News,2020/3/12,https://news.yahoo.com/tokyo-governor-says-cancelling-olympics-unthinkable-030322182--oly.html
"Olympics: Early decision needed for any delay, organising member tells TBS","Any decision to delay the Olympics should be made before May, an organising committee board member told Japanese broadcaster TBS late on Wednesday, as doubts over the Summer Games may grow with the coronavirus now declared a pandemic. Tokyo 2020 executive...",Yahoo News,2020/3/12,https://news.yahoo.com/olympics-early-decision-needed-delay-033555488.html
Q&A: Will WHOs 'pandemic' ruling impact the Tokyo Olympics?,"Tokyo Governor Yuriko Koike spoke Thursday after the World Health Organization labeled the spreading virus a ""pandemic,"" a decision almost certain to affect the Tokyo Olympics. ""But I believe cancellation is impossible."" The reality for Ko...",Yahoo News,2020/3/12,https://news.yahoo.com/q-whos-pandemic-ruling-impact-075924923.html
Uganda stop Zimbabwe in Olympic qualifier of women's beach volleyball,"ENTEBBE, March 11 (Xinhua) -- Hosts Uganda picked up their first win at the women's beach volleyball 2020 Tokyo Olympics qualifier/Continental Cup Group D on Wednesday....",Guangming Online,2020/3/12,http://en.gmw.cn/2020-03/12/content_33643843.htm
"Canceling the 2020 Olympics 'unthinkable', says Tokyo governor","Yuriko Koike stated that the coronavirus might impact the upcoming Tokyo Olympics, but cancelling it is unthinkable...",NewsBytes,2020/3/12,https://www.newsbytesapp.com/timeline/Sports/58548/273064/coronavirus-will-impact-tokyo-2020-olympics
Trump suggests Tokyo Olympics be postponed 1 year,NEW YORK/TOKYO -- President Donald Trump on Thursday raised the possibility of delaying the Summer Olympics in Tokyo owing to the...,Nikkei Asian Review,2020/3/12,https://asia.nikkei.com/Spotlight/Tokyo-2020-Olympics/Trump-suggests-Tokyo-Olympics-be-postponed-1-year
Muhammad looking to complete Olympics set with Tokyo taekwondo gold,Lutalo Muhammad is determined not to let one second define an entire Olympics career as he looks to bounce back from heartbreak in Rio and claim gold in Tokyo this summer....,Yahoo News,2020/3/12,https://news.yahoo.com/muhammad-looking-to-complete-olympics-set-with-tokyo-taekwondo-gold-170423303.html
Trump floats delaying Tokyo Olympics by 1 year,NEW YORK/TOKYO -- U.S. President Donald Trump on Thursday raised the possibility of postponing the Summer Olympics in Tokyo over the coronavirus pande...,Nikkei Asian Review,2020/3/12,https://asia.nikkei.com/Spotlight/Tokyo-2020-Olympics/Trump-floats-delaying-Tokyo-Olympics-by-1-year
FACTBOX-Olympics-Key facts about badminton at the Tokyo 2020 Games,"The 2020 Tokyo Olympics involves 33 sports, including badminton. Here are some key facts about badminton at the Olympics. Introduced: Badminton was officially added to the Olympic programme at the 1992 Barcelona Games after first appearing at the 1972 Oly...",Yahoo News,2020/3/12,https://news.yahoo.com/factbox-olympics-key-facts-badminton-180000899.html
FACTBOX-Olympics-Key facts about handball at the Tokyo 2020 Games,"The 2020 Tokyo Olympics involves 33 sports, including handball. Here are some key facts about handball at the Olympics. Another iteration of the sport, field handball, was played in 1936 but not contested in any other Games....",Yahoo News,2020/3/12,https://news.yahoo.com/factbox-olympics-key-facts-handball-180000471.html
Trump issues first call for postponing Olympics,"US President Donald Trump came out Thursday as the first foreign leader to suggest delaying the Tokyo Olympics because of coronavirus, dropping a bombshell on his ""good friend"" Japanese Prime Minister Shinzo Abe. ""Maybe they postpone it for a ...",Yahoo News,2020/3/12,https://news.yahoo.com/trump-issues-first-call-postponing-olympics-193809358.html
Trump says delaying Olympics 1 year better than no spectators,NEW YORK/TOKYO -- U.S. President Donald Trump on Thursday raised the possibility of postponing the Summer Olympics in Tokyo over the coronavirus pande...,Nikkei Asian Review,2020/3/12,https://asia.nikkei.com/Spotlight/Tokyo-2020-Olympics/Trump-says-delaying-Olympics-1-year-better-than-no-spectators
Trump says delaying Olympics a year better than no spectators,NEW YORK/TOKYO -- U.S. President Donald Trump on Thursday raised the possibility of postponing the Summer Olympics in Tokyo over the coronavirus pande...,Nikkei Asian Review,2020/3/12,https://asia.nikkei.com/Spotlight/Tokyo-2020-Olympics/Trump-says-delaying-Olympics-a-year-better-than-no-spectators
Tokyo Olympics organisers dig in their heels after Trump ...,HEALTH-CORONAVIRUS/OLYMPICS (UPDATE 1):UPDATE 1-Tokyo Olympics organisers dig in their heels after Trump suggests one-year delay...,Thomson Reuters Foundation,2020/3/13,https://news.trust.org/item/20200312235934-h4e6n
