news_title,news_content,news_source,news_pubtime,news_sentiment,news_url
哔哩哔哩专栏,"波士顿凯尔特人队传奇人物凯文加内特似乎在周五晚上的 Ins 中质疑洛杉矶湖人队的超级巨星勒布朗詹姆斯和安东尼戴维斯。 加内特似乎对上述明星将不会参加即将到来的东京奥运会这一事实表示异议。 由于新冠病毒大流行，2020 年夏季奥运会被推迟到 2021 年，这就是该活动在今年夏天举行的原因。 尽管没有得到詹姆斯或戴维斯的承诺，但美国队的阵容还是相当不错的。达米安·利拉德、布拉德利·比尔、杰森·塔图姆
 ... 看起来，这两位超级巨星的焦点是在 2021-22 赛季，而不是东京奥运会会。
 ... ",哔哩哔哩,2020-08-21,1.0,https://www.bilibili.com/read/cv11813669
体育为他们治愈创伤，60位难民运动员参赛东京奥运,"在面临流离失所和疫情的双重挑战下，60名难民运动员逆流而上，将参加东京奥运会。联合国难民署发布视频《旅程》，展示难民运动员的奋斗与拼搏。 $newsDetail.reviewCountreviewCount
 ... ",封面新闻,2021-06-09,0.0,http://www.thecover.cn/video/7594099
日本T联赛招兵买马 韩国女乒新星崔孝珠确认加盟,"日本T联赛招兵买马 韩国女乒新星崔孝珠确认加盟 1970-01-01 08:00 关注 北京时间6月22日，日本乒乓球T联赛日本涂料俱乐部宣布，已与韩国选手崔孝珠签约。崔孝珠近来表现不俗，7月开幕的东京奥运会上，崔孝珠将代表韩国女乒征战女团项目。
 ... ",新传宽频,2021-01-01,0.0,https://static.zhibo.tv/detail/headerline/1021863
日本逾86%调查对象担心办奥运会或使疫情反弹,"”奥运会和残奥会。 如果东京等地在奥运会和残奥会开幕后再次宣布进入紧急状态，赛事应何去何从？55.7%的调查对象认为“应采取空场等措施继续举办”，33.5%建议“取消比赛”。 对于日本政府迄今的疫苗接种
 ... 。 受疫情影响，东京奥运会推迟一年举行，定于今年7月23日开幕。东京奥组委3月宣布，将不允许海外观众现场观看奥运会和残奥会比赛。日本政府新冠疫情专家组本月向东京奥组委提出明确建议，希望东京奥运会“最好
 ... ",湘潭在线,2021-06-01,0.0,http://news.xtol.cn/2021/0622/5443080.shtml
新华社：尽管疫情再次恶化 东京奥运开幕无悬念_中华明法网|www.zhmingfa.com,"自从4月底以来，日本新冠疫广州专利诉讼律师_中华明法网|www.zhmingfa.com情再次恶化，包括东京在内的多个地区疫情紧急状态被延至5月底，届时距离东京奥运会开幕还不到60天。日本国内外质疑奥运会是否应该举行的声音不断出现，但是经过东道主又一年的筹备，经过国际奥委会和大多数成员的努力，东京奥运会如箭在弦上，如期开幕已基本没有悬念。日本疫情的恶化，是与本国前两三波疫情相比的。在世界范围内来看
 ... 奥运会步调一致。首相菅义伟不断重申奥运会如期举办的决心，东京奥组委主席桥本圣子和东京都知事小池百合子在日前会见世界田联主席塞巴斯蒂安科时，也清晰表达了奥运会举办的信心。国际上支持东京奥运会的声音也不断增加
 ... ",科技资讯,2021-04-28,0.0,http://www.wenwan80.com/4qgx3b.html
又双叒出状况！东京奥运会圣火传递 火炬箱着火了_中华明法网|www.zhmingfa.com,"北京京师律师事务所温州又双叒出状况！东京奥运会圣火传递 火炬箱着火了_中华明法网|www.zhmingfa.com 一波三折！东京奥运会圣火传递又双叒出状况了！4月6日，东京奥运会圣火传递在爱知县进行火炬突然失火，引发骚动。现场视频显示，火炬箱在路中间燃起了大火，警察正疏散附近人群。据日媒报道，圣火传递结束后，工作人员将火炬熄灭并放入箱子中时，因操作失误，降温不当，火炬一放进箱子便烧着了。 15
 ... ://static.ws.126.net/video/img14/zhuzhan/play.png');} 东京奥运会圣火传递再出意外：这次是装火炬的箱子被烧了 （来源：original） window.NTES &amp;&amp; function(d
 ... ",科技资讯,2021-04-06,0.0,http://www.wenwan80.com/8378z.html
奥运会|法国乒乓球女队接替朝鲜队出战东京奥运会女团比赛,"新华社北京6月22日电 国际乒联22日确认，由于朝鲜代表团退出东京奥运会，空缺的女子团体赛名额将由法国女乒接替。 此前法国队的袁佳楠和普里蒂卡·帕瓦德已经取得奥运女单资格，法国队仅增加史蒂芬妮·洛伊莱作为女团第三人，与袁佳楠、帕瓦德携手出战团体赛。 更新后的法国队名单上还有此前已取得男单资格的西蒙·高茨和埃马纽埃尔·勒贝松，他们还将搭档亚历山大·卡昕出战男子团体比赛，另外勒贝松将与袁佳楠配对参加
 ... 其他候补奥运资格选手的权益。 东京奥运会乒乓球比赛于7月24日至8月6日在东京体育馆举行。国际乒联已于5月20日和6月7日先后公布奥运乒乓球项目的团体和单打、混双名单。 编辑：张悦姗、高萌、石健（实习
 ... ",封面新闻,2020-06-22,0.0,http://www.thecover.cn/news/7665944
奋楫击水再争先（拼搏志 体育情）,"他眼下正带领队伍，为东京奥运会做着最后准备。“每一分钟都想掰成两半用”，近乎“满负荷”的工作状态，他已经习以为常。 为奥运梦想奋斗，是孟关良生活的重心。曾经，他与搭档杨文军一起，为中国皮划艇队拼下了
 ... 前进的动力。 东京奥运会，重要关头接过国家队教练重任 随着一批老将退役，中国皮划艇队又经历了一段时间的沉寂。东京奥运会的脚步临近，孟关良在重要关头接过“指挥棒”，成为中国队静水项目总教练。 又是一份重任在肩，他扛起了带领队伍冲击东京奥运会的责任，“全力以赴吧，拼到最后一刻。” 备战的关键时期，疫情来袭，以往的训练模式需要重新梳理调整。由于到国外训练和参赛的机会大大减少，为了保证训练质量，中国皮划艇
 ... ",封面新闻,2020-06-22,0.0,http://www.thecover.cn/news/7665805
丹羽孝希本月将升级当奶爸 谈东京奥运会盼单打团体摘奖牌,"近日，日本男乒奥运主力球员丹羽孝希接受媒体访问透露，自己和妻子将在本月迎来两人的第一个孩子，并透露性别是女孩。丹羽孝希表示，去年结婚之后生活变化很多，得到了非常大的支持，从而让自己能够集中精力打球。自己想赢球的欲望更强了，也想要给女儿看到自己帅气比赛和拿到奖牌的样子。谈及东京奥运会目标，丹羽孝希表示，希望能够单打和团体项目中取得奖牌牌。
 ... ",新传宽频,2021-01-01,0.0,https://static.zhibo.tv/detail/headerline/1021838
土耳其汽车租赁公司Yolcu360融资600万美元,"土耳其汽车租赁公司Yolcu360融资600万美元 2021-06-22 14:42 分享至 使用微信“扫一扫”，打开网页后点击屏幕右上角分享按钮 环球旅讯获悉，土耳其汽车租赁公司Yolcu360在A轮融资中筹集了600万美元，估值为3000万美元。本轮融资由Eksim Ventures领投，将换取Yolcu360公司20%的股份。Yolcu360计划将该笔资金用于基础设施和产品开发，并将业务拓展至伦敦、巴黎、罗马、巴塞罗那等国际市场。 原文链接 日本电视台从相关人士处获悉，东京奥组委等方面正在协调将东京奥运会开幕式的观众人数作为特例，其上限可能设置为2万人。关于东京奥运会、残奥会观众的上限
 ... ",环球旅讯,2020-06-24,0.0,http://www.traveldaily.cn/express/6188
巴西奥运会奥运会23人名单：马丁，罗德里戈铅,"辽宁昌信律师事务所地址巴西奥运会奥运会23人名单：马丁，罗德里戈铅_中华明法网|www.zhmingfa.com 5月15日，巴西足球协会宣布在东京奥运会，马丁，罗德里戈领导的23人名单。巴西是奥运会的卫冕冠军，这个东京奥运会，他们与德国，科特迪瓦和沙特的同一组。巴西足球协会宣布23人名单，黄男，罗德里戈，阿森纳，明星马丁，加布里埃尔在专栏。 Nabi Team东京奥运会名单：Bate：Brazang（西班牙oviedo），Brunno（巴西Gramio），Krem（巴西巴西州红牛）侧卫：Emblen（Betis，西班牙，Meno（巴西Palmeras），阿拉尼亚（巴西梅尼拉） Abon
 ... ",科技资讯,2021-05-15,0.0,http://www.wenwan80.com/yiklc.html
递补东京奥运会朝鲜乒乓女团遗缺 法国乒乓球队公布奥运女子阵容,"在朝鲜退出东京奥运会后，其团体赛的资格名额由法国乒乓球队顶替。法国队派遣史蒂芬妮·洛伊莱特为女子团体的第三名选手。其余两名选手——袁佳楠和普里蒂卡·帕瓦德此前已获得参加奥运会的门票，她们将代表法国出战女子单打项目，史蒂芬妮·洛伊莱特将与她们携手向团体赛奖牌发起冲击。 史蒂芬妮·洛伊莱特 鉴于朝鲜队的退出，国际奥委会执行委员会决定，相关体育项目的国际联合会可以根据各自公布的奥运会预选制度，立即
 ... 战男子单打项目，勒贝松将搭档袁佳楠，参加本届奥运会新添加的混合双打比赛。东京奥运会的预选赛制如下：1.团体赛设16支男队和16支女队，名额与其它预选赛同时分配。 2.男单、女单项目各设最多70名选手
 ... ",新传宽频,2021-01-01,0.0,https://static.zhibo.tv/detail/headerline/1021875
奥运将迎首位变性选手,"据外媒报道，新西兰举重运动员哈伯德(Laurel Hubbard)将成为首位参加奥运会的变性运动员，这在奥运百年史上还是第一次。 现年43岁的哈伯德曾以男性身份参加过比赛，其在30多岁时转变为女性。2018年，在比赛中受伤的哈伯德一度可能结束职业生涯，但她一直努力恢复。 据悉哈伯德将在东京奥运会上参加女子87公斤级的比赛，目前她在该项目中排名世界第16位。 哈伯德通过新西兰奥委会向给予她善意与支持的人表达了感谢。在2017年的一次采访中，哈伯德曾说：“我知道，我不会得到所有人的支持，但希望人们能保持开放的心态。”(制作 周璟)
 ... ",中安在线,2021-01-15,0.0,http://api.app.anhuinews.com/content/5328654.html
美国女篮公布奥运12人名单：两位第5次征战元老领衔,"中国体育6月22日讯，美国女篮公布出战东京奥运会的12人大名单，两位老将戴安娜-陶乐西和苏-伯德领衔出战，这两位老将为美国女篮出战超过20年，这也是她们的第5次奥运会之旅。 包括朱厄尔-洛依德、阿加-威尔森、阿里尔-阿特金斯、娜菲莎-科利尔、斯凯拉-金斯·史密斯以及切尔西-格蕾，则是首次为美国女篮出战。 美国女篮大名单阿里尔-阿特金斯、苏-伯德、蒂娜-查尔斯、娜菲莎-科利尔、斯凯拉-迪金斯-史密斯、西尔维娅-福尔斯、切尔西-格蕾、布里特妮-格里娜、朱厄尔-洛依德、布里安娜-斯图尔特、戴安娜-陶乐西、阿加-威尔森森。
 ... ",新传宽频,2021-01-01,0.0,https://static.zhibo.tv/detail/headerline/1021917
担任旗手第三次出征奥运 吴柳莹：意义重大,"伤病。所以奥运会对我来说意义重大，”吴柳莹补充道。吴柳莹将会在东京奥运会开幕式中担任马来西亚代表团旗手，“马来西亚的羽毛球运动不仅被视为男子的运动，也被视为女子运动员的运动。我很高兴马来西亚有更强大的女运动员……希望这些年轻运动员能够为新一代羽毛球创造灵感。”7月8日计划进行东京奥运会羽毛球项目抽签仪式，“现在是我们战胜运气的时候了。因为无论你在奥运会上面对谁，你都必须全力以赴赴。”
 ... ",新传宽频,2021-01-01,0.0,https://static.zhibo.tv/detail/headerline/1021852
郎平没能探到美国底牌，中国女排七连胜背后还有隐忧,"所有姑娘都在场上奋力拼搏，打出了精气神，同样赢得了国人的掌声。 01 美国女排是中国女排在东京奥运会小组赛的对手之一，此次较量，也被很多人视为奥运之前的一次“模拟考”。 本场比赛，中国女排尽遣主力，被
 ... 世界杯上以全胜战绩夺冠后，大部分时间里中国女排的姑娘们都在闭关修炼。除了5月1日同日本女排的一场测试赛外，她们已经近两年没有打过国际大赛了。 期待中国女排能在东京奥运会再创辉煌 在东京奥运会之前，无论是替补，还是主力，都需要通过实战找回比赛的感觉。而世界女排联赛提供了这样一个舞台。 在提前结束了意大利之旅后，中国女排还有近一个月备战即将到来的东京奥运。让我们一起再为中国女排加油！东京奥运会见！ 
 ... ",济南都市网[jnd,2021-05-17,0.0,http://www.jndushi.com/list/377512
无线电视欢迎港府购入东京奥运转播权,"摘要：公司指TVB拥有多年转播奥运及大型体育盛事经验，将一如以往投放最专业团队及资源为观众报道奥运会，无线电视各个数码频道已作最好准备全力直击东京赛事实况。 电视广播(00511.HK) +0.120 (+1.575%) 沽空 $9.38万; 比率 9.747% 得悉政府成功购入“2020年东京奥运会”电视转播权，无线电视与各本地电视台将作实时转播，届时全港市民可透过本港电视频道观赏香港运动员于东京奥运的努力成果，为一众参赛选手打气。公司指TVB拥有多年转播奥运及大型体育盛事经验，将一如以往投放最专业团队及资源为观众报道奥运会，无线电视各个数码频道已作最好准备全力直击东京赛事实况
 ... ",萝卜投研,2021-05-11,0.0,https://m-robo.datayes.com/information/news/90375137
印度前国手：辛杜在本届奥运会中面临很大困难 获奖牌不容易,"据《印度时报》报道，前印度羽毛球国手古塔认为，今年辛杜在东京奥运会将面临很大的压力，想拿到奥运奖牌并不容易。古塔表示：辛杜在本届奥运会想要夺冠，面临着三大问题。一是教练团队不稳定，很难有系统的训练来保持状态；二是印度由于本国的新冠疫情被列入了旅行黑名单，在出行上或受到很大限制；三是本届奥运会中，中国、韩国、日本等羽球强国所派参赛选手较多，或对辛杜的比赛造成较较大威胁，且由于本届奥运会并不允许运动员的陪练选手前往，辛杜独自一人前往日本面临着没有陪练的问题。《印度时报》报道称，日本政府对印度奥运代表团采取了更严格的防疫措施，要求印度运动员和官员在出发前一周每天都接受新冠病毒检测，抵达日本后3天内
 ... ",新传宽频,2021-01-01,1.0,https://static.zhibo.tv/detail/headerline/1021864
《瑞信窝轮》快手季绩友邦偏软，留意快手购12971、友邦购11296,"摘要：即将公布季绩的视频股快手，宣布获得2020东京奥运会与北京2022年冬奥会视频点播及短视频权利。看好可留意快手购12971，行使价280.00元，21年8月到期。 即将公布季绩的视频股快手（1024），宣布获得2020东京奥运会与北京2022年冬奥会视频点播及短视频权利；不过股价绩前跌逾4%，低位曾跌穿230元。向上阻力留意250元，支持或留意220元水平。看好可留意快手购12971，行使价280.00元，21年8月到期。或快手牛62911，收回价218.00元，行使价215.00元，21年12月到期。相反看淡则可留意快手沽21673，行使价200.68元，21年9月到期。或快手熊
 ... ",萝卜投研,2021-05-24,1.0,https://m-robo.datayes.com/information/news/90374954
梦之队东奥前景之羽毛球：谌龙一人带新 困难重重,"在2012年伦敦奥运会包揽五金的中国羽毛球队，从里约奥运周期开始出现下滑，到了东京奥运周期更是遭遇到日本队的全面挑战，风光不再的这支梦之队，奥运前景扑朔迷离，除了混双有绝对把握摘金外，其余四项只能说有夺冠的机会，如若能够在东京摘得两金和上届持平，也算是不错的成绩了。东京奥运会羽毛球项目的首金诞生在混双，而这恰恰是中国队最有把握或者说唯一有把握夺冠的单项。郑思维/黄雅琼和王懿律/黄东萍位列混双奥运
 ... 。国羽在伦敦和里约两届奥运会都夺得了男双金牌，但是此番东京奥运会甚至没能拿到两对的满额参赛席位，最终只有李俊慧/刘雨辰一对组合征战东京。虽然“双塔”也曾在2018年夺得过世锦赛冠军，但二人目前的配合和
 ... ",新传宽频,2021-01-01,1.0,https://static.zhibo.tv/detail/headerline/1021817
哔哩哔哩专栏,"9、西共体15国决定于2027年发行统一货币，新货币名为“ECO”。 10、欧盟宣布因克里米亚问题对俄罗斯实施相关制裁再次延长一年。 11、日媒：定了！东京奥运会入场观众上限设定为1万人，持学生票人数
 ... ",哔哩哔哩,2020-07-23,0.0,https://www.bilibili.com/read/cv11829021
无缘4强事出有因，中国女排冲刺备战奥运任务重,"、意大利队、俄罗斯队以及此前14场保持全胜的美国队，以7连胜为本次大赛完美收官。接下来，中国女排将全力冲刺东京奥运会。 6月6日，中国女排主教练郎平在比赛间隙指导球员。当日中国女排2比3不敌比利时队。图/新华社 问题 “二组”阵容弱点明显 东京奥运会开始前，中国女排通过大赛检验阵容的机会并不多，主要是奥运会的女排测试赛以及2021年世界女排联赛。 4月底赴东京参加测试赛时，中国女排全主力出战。赴
 ... 盈莹的组合，都取得不俗的效果。 6月2日，中国女排球员段放（左）在比赛中拦网。当日，中国女排0比3不敌土耳其队。图/新华社 奥运 最后一月备战任务重 东京奥运会将于今年7月23日开幕，中国女排的首场
 ... ",济南都市网[jnd,2021-06-06,1.0,http://www.jndushi.com/list/376544
王霜：贾指导说男足没有你们练得这么好 这么‘扛练’_中华明法网|www.zhmingfa.com,"北京天驰君泰律师事务所福州分所王霜：贾指导说男足没有你们练得这么好 这么‘扛练’_中华明法网|www.zhmingfa.com 4月13日，中国队球员王霜在比赛中庆祝进球。当日，在江苏苏州举行的东京奥运会女足亚洲区预选赛附加赛第二回合的比赛中，中国队通过加时赛以2∶2战平韩国队，从而以总比分4∶3胜出，晋级东京奥运会。 通过艰苦的附加赛拿到东京奥运会入场券之后，中国上海沃弗律师事务所许席禄_中华
 ... 落后的情况下追平比分，最终拿到东京奥运会的资格。所以我当时的情绪表达比较强烈。现在已经平复了很多，和队友、球队的工作人员一起，每天都很开心，教练组也让我们有意识地放松。 记者：之前是否想到第二回合的比赛
 ... ",国内新闻网,2021-04-13,0.0,http://www.sdzbth.com/zkzh.htm
中国奥委会2021年第35届奥林匹克日于7地同步启动,"中国奥委会2021年第35届奥林匹克日活动于6月20日上午9时在北京、张家口、杭州、成都、三亚、繁峙、织金等7地同步启动，全国数千名体育爱好者参加了健步走、奥林匹克文化营、群众冰上体验等丰富多彩的活动。 国家体育总局副局长、中国奥委会副主席高志丹出席了在北京奥林匹克水上公园的主会场活动并致辞。 高志丹副主席表示，今年对于中国和世界奥林匹克运动都具有特殊意义。再过10天，我们将迎来中国共产党百年华诞。再过不到1个月，我们的奥运健儿即将出征日本，参加东京奥运会。再过200多天，我们将迎来北京冬奥会。在这特殊的背景下，希望大家都积极动起来，积极参与体育运动，推动全民健身与奥运同行，以实际行动庆祝党
 ... ",济南都市网[jnd,2020-06-23,0.0,http://www.jndushi.com/list/375763
WTA排名:澳洲姑娘生涯首冠飙升 金花三人前五十_中华明法网|www.zhmingfa.com,"东京奥运会的资格。 WTA世界双打排名（2021年4月19日） 名次 选手 国籍 积分 升降 参赛数量 1 谢淑薇 中国台北 9010 0 19 2 斯特里科娃 捷克 8945 0 19 3 巴博斯 
 ... ",国内新闻网,2021-04-19,0.0,http://www.sdzbth.com/84e.htm
东京奥运观众上限1万人，若疫情加剧将闭门举行,"综合报道，21日，东京奥运会和残奥会组织委员会、东京都、日本政府、国际奥委会（IOC）、国际残奥委会（IPC）的代表举行五方磋商，正式决定东京奥运比赛场馆的观众人数上限为容纳人数50％，且不得超过1万人。 报道称，这一规定遵循了日本政府新冠防疫措施中对大规模活动的限制。不过，奥组委秘书长武藤敏郎补充称，这1万人上限指的是持票观众，不包括国际奥委会和海外的来访者等。他还说，奥运会开幕式的入场总人数将明显少于2万人。 门票已销售了约42％。武藤敏郎表示，将对超过人数上限的时段再次抽签，说明称售出的约448万张门票将因奥运延期和再次抽签减至约272万张。他表示原本预估900亿日元（约合人民币53亿
 ... ",环球旅讯,2020-06-24,0.0,http://www.traveldaily.cn/article/146223
持续877天！孙杨案终迎大结局：游泳生涯还“活着”,"禁赛期缩短为4年3个月。这意味着，孙杨无缘东京奥运会。孙杨的未来持续877天的孙杨案落下帷幕，从禁赛8年到4年3个月，孙杨还“活着”，因为禁赛期不需要重新算，孙杨如果想要继续游下去，下个奥运周期还可以
 ... ",新传宽频,2021-01-01,1.0,https://static.zhibo.tv/detail/headerline/1022111
《阴阳师》神乐新皮肤朝露繁花怎么样 神乐新皮肤朝露繁花展示,"执导《恶女花魁》、《狼狈》、《人间失格:太宰治和3个女人》等多部电影，受邀担任东京奥运会筹委，并设计残奥会官方海报。 《阴阳师》手游与日本艺术家蜷川实花跨界联名合作即将开启，更多相关情报，还请期待扫地
 ... ",九游,2020-09-14,0.0,https://www.9game.cn/news/4691889.html
【早！8点 】丹麦神话仍在继续 荷兰、比利时头名出线,"欢呼鼓掌。【隔空对喷！韩网友怒批东京奥运村'纸板床' 日网友:不想来别来】日本每日新闻6月20日在推特上公开了东京奥运会选手村宿舍内部的照片，照片里奥组委给选手提供的“纸板床”今日遭到了韩国媒体的批评。在此前奥组委披露的资料中可以看到，东京奥运会使用的2.6万张床床架是由瓦楞纸拼接成的一个个小箱子编织成大箱子，再贴上两个箱子组成的，床垫材料使用聚乙烯材质做成，可以根据选手身形进行调节，比赛结束后将
 ... 就开始自我怀疑。纳达尔上周宣布退出温网和东京奥运会，而莫亚接受西班牙电视台采访时，透露纳达尔选择休息与他过去几周感到精神疲惫有关系。“红土之旅非常艰难，纳达尔要承受很多身体和精神上压力，而纳达尔已经
 ... ",新传宽频,2021-01-01,0.0,https://static.zhibo.tv/detail/headerline/1021781
